Id,SalePrice
1461,128046.80582341143
1462,120926.03777843482
1463,175122.2197438346
1464,199912.99134381948
1465,181195.13262268633
1466,172069.13692068786
1467,190895.16371644352
1468,165537.4307627816
1469,192784.51056649393
1470,115515.62810328652
1471,196863.81652217088
1472,110017.8026511645
1473,104415.66114056272
1474,159395.96019712297
1475,121699.54390020759
1476,346206.95364339714
1477,246505.91944801688
1478,268673.14952084556
1479,258471.32574585703
1480,481100.19271109503
1481,296434.39954756387
1482,199165.03937078058
1483,167406.73071925147
1484,161679.74703980243
1485,183576.2916951562
1486,197798.96062244408
1487,311021.4759838464
1488,244248.44470983994
1489,184086.8416198461
1490,223914.1617606908
1491,190652.74130959113
1492,96333.6008618809
1493,210205.84828750315
1494,286574.96757808747
1495,284493.0970753748
1496,216320.13775598336
1497,165809.25294384817
1498,150003.88134258502
1499,155337.56788246846
1500,144203.87101254577
1501,152860.83269369384
1502,146627.86690869514
1503,298048.02228582883
1504,236507.7131014202
1505,218920.50953192142
1506,191018.2068200983
1507,256875.32356311605
1508,193919.92845460866
1509,157243.38194941907
1510,135567.58020731292
1511,142086.35821883506
1512,172786.5334334338
1513,141231.80249913115
1514,160395.0329894853
1515,201469.46378678278
1516,152510.16281651641
1517,166244.55757545817
1518,133926.90837877415
1519,217785.16196915964
1520,122383.47921673553
1521,122376.43473647522
1522,177800.40470484592
1523,98693.94901934726
1524,113587.81630875634
1525,118796.56181721983
1526,104470.48748134718
1527,99503.4994447203
1528,150297.33667756323
1529,137661.8576141161
1530,217357.35266594897
1531,109871.18316923903
1532,107945.31348919371
1533,150766.42544068588
1534,127198.0392508806
1535,156630.80086354387
1536,112535.35303228734
1537,71913.4869178842
1538,170639.5482893125
1539,184268.36761038084
1540,95140.50786082742
1541,141456.7410648025
1542,141857.99504696173
1543,186324.60729621354
1544,92119.44653304745
1545,123223.20566847776
1546,135630.42786103656
1547,139262.24682186524
1548,138165.28850142442
1549,119967.27609723216
1550,126330.01409542125
1551,123324.06925515094
1552,135262.9877053613
1553,140491.14416083225
1554,123886.93476356796
1555,160069.66466828124
1556,90199.48519562536
